user_screen_name,created_at,tweet_text
Ravindr80767822,3/30/2019 13:11,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 ushers in a new era of smartphones with some revolutionary features. Know more: https:/\xe2\x80\xa6'
,,
OloriSupergal,3/30/2019 13:11,b'Third facilitator @thepamilerin \n\n#influencermarketing #OSGACADEMY #Masterclass \n\n#ShotonmyGalaxyNG #GalaxyS10\xe2\x80\xa6 https://t.co/9azpLzggcq'
,,
CesarBolanOf,3/30/2019 13:11,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
BrandCrazyMeds,3/30/2019 13:11,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
ArunChine,3/30/2019 13:10,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/uyYQuJYroq'"
,,
Joseph_Diesel,3/30/2019 13:08,b'RT @BravoWWHL: Watch What Happens... some of our #WWHL studio cameras are being replaced with the Samsung\xc2\xa0#GalaxyS10+\xc2\xa0to\xc2\xa0capture\xc2\xa0tonight\xe2\x80\x99s\xe2\x80\xa6'
,,
dracostaic,3/30/2019 13:08,b'RT @zedomax: Late night snake camera test with #GalaxyS10 #ShinRamen #Ramen #MyDaughterCallsSnacksSnakes https://t.co/b9cm0JHUeW'
,,
SamsungMobileIN,3/30/2019 13:06,b'@JKVinod The pro-grade cameras on #GalaxyS10 will revolutionize how you shoot. Capture panoramic landscapes with th\xe2\x80\xa6 https://t.co/3xwxceyQc3'
,,
JKVinod,3/30/2019 13:05,"b'With the #GalaxyS10, there are so many ways to capture my memories like a pro. Be it HDR 10+ videos, super slow-mo\xe2\x80\xa6 https://t.co/ySgHhZlXKP'"
,,
KhanMavia3,3/30/2019 13:05,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/2Jex8efI2o'"
,,
okami_pui,3/30/2019 13:03,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
Bolbalbil,3/30/2019 13:03,b'RT @SamsungMalaysia: Bringing all you need to achieve even more in one single device - #GalaxyS10 is the phone for you. https://t.co/Q4t6En\xe2\x80\xa6'
,,
yann240,3/30/2019 13:02,"b'@SamsungFR Hello,\nS10 version : 10.0.04 33\nS8 version : 10.0 05.21\n#GalaxyS10 #Contacts'"
,,
ThePhoneShop_,3/30/2019 13:00,b'Still plenty of time to #Enter our #Competition to #Win a #Samsung #GalaxyS10 - Follow the instructions below... https://t.co/FWeDXZxR9W'
,,
NBM_Fred,3/30/2019 12:59,b'RT @MapsMaponyane: City Lights on the @SamsungMobileSA #GalaxyS10 https://t.co/rx0J30cjF3'
,,
hype_steer,3/30/2019 12:59,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
BalavantBhaiCh1,3/30/2019 12:59,b'RT @SamsungMobileIN: The Next Generation #GalaxyS10 is the future of smartphones. But the future wouldn\xe2\x80\x99t be so bright if there is no energ\xe2\x80\xa6'
,,
TomzPouty,3/30/2019 12:58,b'RT @OloriSupergal: @TomzPouty during her session\n\n#influencermarketing \n#Masterclass #OSGACADEMY \n\nSHOT WITH THE SAMSUNG GALAXY S10 PLUS\xe2\x80\xa6'
,,
pycprae,3/30/2019 12:58,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
irmint,3/30/2019 12:56,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/QxcWzRAZ0Q'"
,,
SamsungMobileIN,3/30/2019 12:55,b'@AurobindoBJP The revolutionary in-display ultrasonic fingerprint sensor makes vault-like security totally invisibl\xe2\x80\xa6 https://t.co/CL7T9UKpIG'
,,
AurobindoBJP,3/30/2019 12:55,b'I carry my life on my phone with all my pictures and contacts residing on my phone. But with in-display Ultrasonic\xe2\x80\xa6 https://t.co/6y8lBHvdA9'
,,
OloriSupergal,3/30/2019 12:53,b'@TomzPouty during her session\n\n#influencermarketing \n#Masterclass #OSGACADEMY \n\nSHOT WITH THE SAMSUNG GALAXY S10 PL\xe2\x80\xa6 https://t.co/fQFNV1qppH'
,,
peppybrownie,3/30/2019 12:50,"b'It becomes such a hassle to carry so many chargers for all the devices that I have. But, with the Wireless PowerSha\xe2\x80\xa6 https://t.co/39ylk0NgAO'"
,,
0xf4c0,3/30/2019 12:49,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
nIlesh_1149,3/30/2019 12:47,"b'@CPWTweets I like in #GalaxyS10 is High screen-to-body ratio, In-screen fingerprint sensor, Wireless PowerShare per\xe2\x80\xa6 https://t.co/jfTzaFRbTC'"
,,
Brand0nDavies,3/30/2019 12:47,b'RT @CPWTweets: Still looking for the perfect match? We can help \xf0\x9f\x98\x89 Tell us in the comments below which feature of the Galaxy S10 you \xf0\x9f\x92\x95 for y\xe2\x80\xa6'
,,
FischaelaMeer,3/30/2019 12:46,"b'RT @DigitalTrends: On the new #GalaxyS10, it can be unlocked with an image of your face--using another phone. https://t.co/bIyJ2YlZAX'"
,,
SamsungMobileIN,3/30/2019 12:45,b'@allenhaynes17 The #GalaxyS10 comes with the stunning Infinity-O display that offers you a cinematic viewing experi\xe2\x80\xa6 https://t.co/UtnobWLzqh'
,,
allenhaynes17,3/30/2019 12:45,b'There are displays and then there is the #GalaxyS10 Infinity-O Display. It has been awarded by VDE for 100% Mobile\xe2\x80\xa6 https://t.co/v7i0za4qUV'
,,
